         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      382    0.000    0.000    0.000    0.000 cast.py:1724(np_can_hold_element)
       30    0.000    0.000    0.000    0.000 std.py:106(release)
        3    0.000    0.000    0.000    0.000 generic.py:6553(copy)
       21    0.000    0.000    0.000    0.000 <frozen ntpath>:231(splitext)
       39    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      366    0.000    0.000    0.000    0.000 series.py:577(_constructor)
        3    0.000    0.000    0.000    0.000 base.py:2292(is_unique)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 base.py:841(_engine)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 _methods.py:46(_sum)
        3    0.000    0.000    0.000    0.000 std.py:689(_decr_instances)
        3    0.000    0.000    0.000    0.000 base.py:5518(equals)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
      379    0.000    0.000    0.000    0.000 blocks.py:654(_maybe_copy)
        3    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      775    0.000    0.000    0.000    0.000 base.py:6611(_maybe_cast_indexer)
        3    0.000    0.000    0.000    0.000 python_parser.py:298(_exclude_implicit_index)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 range.py:134(__new__)
        3    0.000    0.000    0.000    0.000 python_parser.py:180(_make_reader)
      379    0.000    0.000    0.000    0.000 contextlib.py:428(__init__)
        3    0.000    0.000    0.000    0.000 python_parser.py:918(_get_index_name)
        3    0.000    0.000    0.000    0.000 astype.py:192(astype_array_safe)
        3    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
       56    0.000    0.000    0.000    0.000 common.py:1425(_is_dtype_type)
      385    0.000    0.000    0.000    0.000 managers.py:335(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        7    0.000    0.000    0.000    0.000 _asarray.py:22(require)
       21    0.000    0.000    0.000    0.000 std.py:186(__format__)
       11    0.000    0.000    0.000    0.000 _dtype.py:344(_name_get)
       63    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       47    0.000    0.000    0.000    0.000 common.py:521(is_string_dtype)
       50    0.000    0.000    0.000    0.000 base.py:510(find)
       21    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
     47/5    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        3    0.000    0.000    0.000    0.000 series.py:6131(any)
        3    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
       30    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     47/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
        3    0.000    0.000    0.000    0.000 astype.py:158(astype_array)
        1    0.000    0.000    0.000    0.000 synchronize.py:186(__init__)
        3    0.000    0.000    0.000    0.000 common.py:145(is_url)
       12    0.000    0.000    0.000    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
      379    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      375    0.000    0.000    0.000    0.000 series.py:1381(_clear_item_cache)
        3    0.000    0.000    0.000    0.000 parse.py:365(urlparse)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        3    0.000    0.000    0.000    0.000 std.py:682(_get_free_pos)
        3    0.000    0.000    0.000    0.000 series.py:6090(_reduce)
      224    0.000    0.000    0.000    0.000 {built-in method time.time}
