         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 astype.py:192(astype_array_safe)
       62    0.000    0.000    0.000    0.000 construction.py:673(_sanitize_ndim)
        3    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       21    0.000    0.000    0.000    0.000 base.py:7607(maybe_extract_name)
      525    0.000    0.000    0.000    0.000 range.py:381(is_unique)
       53    0.000    0.000    0.000    0.000 common.py:556(require_length_match)
        6    0.000    0.000    0.000    0.000 managers.py:1825(from_array)
        3    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
        3    0.000    0.000    0.000    0.000 readers.py:1513(_clean_options)
       12    0.000    0.000    0.000    0.000 cast.py:1544(construct_1d_object_array_from_listlike)
        3    0.000    0.000    0.000    0.000 series.py:6090(_reduce)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.000    0.000 astype.py:158(astype_array)
      490    0.000    0.000    0.000    0.000 indexing.py:1210(_has_valid_setitem_indexer)
        3    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        6    0.000    0.000    0.000    0.000 common.py:1194(is_potential_multi_index)
        3    0.000    0.000    0.000    0.000 common.py:538(infer_compression)
      490    0.000    0.000    0.000    0.000 contextlib.py:431(__enter__)
        3    0.000    0.000    0.000    0.000 astype.py:56(_astype_nansafe)
        6    0.000    0.000    0.000    0.000 common.py:1155(_is_binary_mode)
        3    0.000    0.000    0.000    0.000 _dtype.py:34(__str__)
        9    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
      174    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 common.py:233(stringify_path)
        3    0.000    0.000    0.000    0.000 nanops.py:482(nanany)
        9    0.000    0.000    0.000    0.000 generic.py:760(_set_axis)
        3    0.000    0.000    0.000    0.000 base_parser.py:190(_validate_parse_dates_presence)
        9    0.000    0.000    0.000    0.000 base.py:648(_simple_new)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 managers.py:2212(<lambda>)
        3    0.000    0.000    0.000    0.000 common.py:145(is_url)
       39    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        7    0.000    0.000    0.000    0.000 std.py:102(acquire)
        9    0.000    0.000    0.000    0.000 inference.py:273(is_dict_like)
       13    0.000    0.000    0.000    0.000 blocks.py:2317(maybe_coerce_values)
        5    0.000    0.000    0.000    0.000 blocks.py:198(_consolidate_key)
        3    0.000    0.000    0.000    0.000 missing.py:466(array_equivalent)
        3    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        3    0.000    0.000    0.000    0.000 common.py:1223(dedup_names)
        1    0.000    0.000    0.000    0.000 std.py:666(__new__)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        1    0.000    0.000    0.000    0.000 std.py:689(_decr_instances)
       65    0.000    0.000    0.000    0.000 construction.py:419(extract_array)
        4    0.000    0.000    0.000    0.000 blocks.py:2375(new_block_2d)
       20    0.000    0.000    0.000    0.000 blocks.py:2346(get_block_type)
        9    0.000    0.000    0.000    0.000 series.py:703(name)
       47    0.000    0.000    0.000    0.000 base_parser.py:1369(_get_na_values)
        3    0.000    0.000    0.000    0.000 managers.py:1726(is_consolidated)
        7    0.000    0.000    0.000    0.000 std.py:106(release)
        9    0.000    0.000    0.000    0.000 common.py:173(_expand_user)
        3    0.000    0.000    0.000    0.000 parse.py:365(urlparse)
        3    0.000    0.000    0.000    0.000 base_parser.py:361(_make_index)
        4    0.000    0.000    0.000    0.000 base.py:5152(_get_engine_target)
        8    0.000    0.000    0.000    0.000 blocks.py:639(copy)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        7    0.000    0.000    0.000    0.000 std.py:400(format_interval)
       11    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
       62    0.000    0.000    0.000    0.000 construction.py:712(_sanitize_str_dtypes)
        9    0.000    0.000    0.000    0.000 blocks.py:2388(new_block)
      131    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
        3    0.000    0.000    0.000    0.000 managers.py:1734(_consolidate_check)
        8    0.000    0.000    0.000    0.000 utils.py:272(_is_ascii)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.reader}
        3    0.000    0.000    0.000    0.000 missing.py:564(_array_equivalent_object)
      189    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        1    0.000    0.000    0.000    0.000 std.py:682(_get_free_pos)
       13    0.000    0.000    0.000    0.000 std.py:231(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        9    0.000    0.000    0.000    0.000 managers.py:225(set_axis)
        3    0.000    0.000    0.000    0.000 common.py:618(is_integer_dtype)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
       53    0.000    0.000    0.000    0.000 common.py:121(classes)
        3    0.000    0.000    0.000    0.000 base_parser.py:349(_maybe_make_multi_index_columns)
        3    0.000    0.000    0.000    0.000 missing.py:305(_isna_string_dtype)
        4    0.000    0.000    0.000    0.000 std.py:1447(format_dict)
       62    0.000    0.000    0.000    0.000 construction.py:732(_maybe_repeat)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 readers.py:1925(_refine_defaults_read)
        3    0.000    0.000    0.000    0.000 python_parser.py:1350(count_empty_vals)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        3    0.000    0.000    0.000    0.000 cast.py:1359(np_find_common_type)
        1    0.000    0.000    0.000    0.000 managers.py:1740(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       53    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
        3    0.000    0.000    0.000    0.000 base_parser.py:861(_do_date_conversions)
        9    0.000    0.000    0.000    0.000 common.py:1562(validate_all_hashable)
